text,type
"எனக்கும் ஒரு பெண் குழந்தை உள்ளது,ஒரு பெண்ணின் தந்தையாக இந்த பெண் குழந்தையின் நிலையை பார்க்கும் போது நெஞ்சம் கொதிக்கிறது, பெற்றோர்களே இதை பார்த்தாவது திருந்துங்கள் பெண் பிள்ளைகளை உங்கள் வீட்டுக்கு அருகிலுள்ள பள்ளிகளில் சேருங்கள், மதிப்பெண்களை விட நம் குழந்தைகளின் மானமும் உயிரும் முக்கியம். பள்ளிகள் நடத்தும் பண முதலைகளை நம்மால் ஒன்றும் செய்ய முடியாது. எனவே நம் பிள்ளைகளை நம் கண்முன்னே வைத்துக்கொண்டால் நல்லது. பள்ளிகளில் உள்ள விடுதி(Hostel)ஐ விட நம் வீடே பாதுகாப்பானது.",tamil_english
"Bro letter la வேதியியல் Eqvation வர Matinguthu . அப்படி இருந்துச்சு Nu சொல்றிங்கல+1 La அதே பாடம் தான அப்ரோம் எப்பிடி +1 ல மட்டும் 492 மார்க் எடுத்த Srimathi +2  ல மட்டும் எனக்கு வேதியியல் Eqvation வரல Nu Letter எழுதி வெச்சு இருக்கும் அவிங்க அம்மா சொன்ன மாதிரி அவிங்களே Letter எழுதி வெச்சு இருக்காங்க bro Avingalala Summa Vida கூடாது .

Miss You Srimathi Sister 🥺💔",tamil_english
கிளாஸ் mudiccittu anthaoru பொன்னுமட்டுத்தா விடுதிக்கு போயிருக்குமா கூட எந்த பொண்ணு povalaiyaa raththamiruntha cctv வீடியோ அந்த raththakaraiya yaarum pakkalayaa school and police ethukku antha வீடியோ va kaamikkala ethukku pablis pannala,tamil_english
"See this qoute"" பணம் பத்தும் செய்யும் "" and do your routine work ...that only we can do even me too😶",tamil_english
Call records etothu partha new therium innum தெளிவா,tamil_english
"ஆக, இப்போது மட்டும் இல்லை எப்போதும் அதிக news channel நிரய விஷயங்கள் தெரியப்படுத்து இல்லை?",tamil_english
Andha ponnoda 10th and 11th mark cheak panna sollunga andha ponnu playful ah illa nalla padikura ponna nu theriyum bro,tanglish
"Bro அந்த பெண் letter hand writing    
And exam paper hand writing compare பன்ன உன்மை வெளியே வரும்",tamil_english
"Bro Enga collage la romba mosam bro,teachers Enna sonnalum appudiya kekkanum romba torture panraanga yatachum requestion vacha Kuda marks la kai vachiruvanu bayam kuduthuraanga.ippudi students a torture panni no 1 collage nu name yaduthu Enna panna poraanganu tharilla bro.itha Pola yatachum oru case Ku nalla solution vantha tha innima ivangala thirunthuvaanga.",tanglish
"நான் ஆராய்ச்சி செய்த பல பெயர்களில்.... தற்கொலைகள், கொலைகள், மர்மமான மரணங்கள், அகால மரணங்கள், உடல் சிதறுண்ட மரணங்கள் நியூமராலஜியில் hebrew எண்ணிக்கை 18 வருகிறது. Srimathi மாணவியின் hebrew எண்ணிக்கையும் 18 வருகிறது.",tamil_english
Nalla explain panni...neenga earn pandringa da ...shit,tanglish
"Hi madan, I'm also a teacher but now not.. Na student friendly ah irunthen, students kum enna romba pidichathu.. But senior teachers oda politics nalla enna torture pani enna velila anupitanga.. Reason enna na avanga rude nala, students ku avangala pidikathu.. Students ku parents freedom kuduthalum, teachers kathi bayamuruthi avamanapadithi கோளை  aakiduranga... Keta apadi panuna tha padipan nu katha solranga... Pilaingaluku  namale solikuduthu veedule vachukalam pola iruku.. Oru sila palasunga mental torture panranga.. Avangala pathale pilaiga payapadanunu ninaikanga.. Olds lam velila anupitanga na nalla irukum students life..",tamil_english
CCTV  பார்த்தால் எல்லாம் உண்மையும் தெரியும் ....இப்போதைக்கு யார் சொன்னது உண்மை யார் சொல்வது பொய் என்று ஜட்ஜ் பண்ண முடியல.....,tamil_english
"உண்மை எதுவென்று மூடிமறைக்கப் பள்ளி நிர்வாகம் நிறைய முயற்சி செய்கிறது ஆனால் உண்மை கண்டிப்பாக வெளியே வரும்.....""Truth is not hide""",tamil_english
"Epa tha school college ellam start aguthu athukulla,enna tourcher something wrong...athum nalla padikara pinnunu vara sollaranga....ethuku munnadi 7to9 students eranthirukanganu sollaranga.. ethuku munnadi enna action eduthurukanga ...nalla padikara ponnunga,hostal la padikaravangaluku entha marri nadakuthu...ethuku 1000 kanakula police production....",tanglish
ஒரு முறை குமுதத்தில் இதுபோல் பள்ளியில் ஒரு குழந்தைக்கு நடந்த கொடுமை குறித்து ஆட்டிகில் வந்தது. அதை முன்னாள் ஜனாதிபதி அப்துல்கலாமுக்கு email அனுப்பினேன். அடுத்த 6 மாதத்தில் ஆசிரியர்கள் குழந்தைகளை துன்புறுத்த கூடாது என்று கலாம் சட்டம் இயற்ற வழிவகை செய்தார். இந்தியாவில் எதிர் காலம் குழந்தைகள் என்பதை புரிந்து கொண்டு ஆட்சி செய்யணும்.,tamil_english
"மீடியா  டாஸ்மாக் ல தீபாவளிக்கு,பொங்கலுக்கு,புத்தாண்டுக்கு எவ்ளோ வசூல் ஆச்சுன்னு மட்டும் தான் பாபணுங்க இதெல்லாம் கண்டுக்க மாட்டனுங்க justice for srimathi😭😭",tamil_english
"கரஸ்பாண்டெண்ட்கள்முதலில் ஒரு ஸ்கூல் நடத்த காசு இல்லாமல் இருப்பார்கள்.ஒரு வழியாக பணம் கிடைத்து தனது பள்ளி High standed ஆனதும் சேட்டை, திமிர் பண்ணுவார்கள்.அதே போல Teachers வேலை கிடைக்காமல் அலைவார்கள்.ஒரு வழியாக வேலை கிடைத்து சிறந்த  Teacher ஆகிவிட்டால் schoolக்கு நல்ல பெயர் வாங்கித் தருகிறேன் என்ற  சேட்டை, திமிர்த்தனம் பண்ணுவார்கள்.இதை நிர்வாகம் கண்டு கொள்ளாது.இதனால்தான் இந்த விபரீதம்.",tamil_english
That's why sometimes i think he should not upload video only gaining  views shits..not knowing anything about case ...only biased...onna num  bahidakoli eve chi..now also saying that this  is sucide... Only saving channel😂🤣🤣 being other side .🤣😂 bro why are you supporting him..he dont know how cover a case just being police dont know what is reality...evve kuda ippdi aana nalla irkku..,tanglish
S. Teacher பற்றி பேசுனது sar,tamil_english
அண்ணா....இங்க technology மட்டும் தான் வளருது ஆனா மனித நேயம் தேஞ்சிகிட்டுதான்   போகுது,tamil_english
Karthik Anna semme ungale maari 10 பேரு irukanum 👏,tamil_english
டார்கெட்  achievement  னு  எல்லா  dep  பெருகி  சாவடிக்குது  அதிலும்  இந்த  school s hospital s  etc. அதுக்கு  சிறு பிஞ்சுகள்  பலிக்கடாவாகுது,tamil_english
Aama anna. ..avlo nalla letter eludhura ponnukku ...epdi padikka theriyala nu solranga epdi anna?,tanglish
If u get time plz see kalasalapakkam news முரசு and தினகரன் paper.....,tamil_english
Super sir kandippa,tanglish
பணமும் பதவியும் இருந்த உண்மை sethuthan போகும் அண்ணா..... Yesterday before my sister in law was died bcs of doury problem avala அடிச்சி அவகளே thukula potu set panitaga police avagaluku பாதுகாப்பு கொடுகுரக complaint koduka ponavagala sariya response kuda panala...... கொடுமை ethuku பேர் சுதந்திர பூமியா..... ??? Really I was shamed enthamathiri oru country la vazhurathuku roimba asigapadura.....,tamil_english
"Ivlo vishiyam parents ku therinjum yean andha school la sekkanum??... neraiya fees,periya school intha madhri schools lam padicha than pillainga nalla padipanga nu nenaikuringa??",tanglish
Nethi கிடைக்கும்மா கிடைத்தால் இனிமேல்  இப்படி  நிகழ்வு நடக்காமல் தடுக்க  வழிவகுக்கும்,tamil_english
அப்போ இந்த ஒரு வீடியோ வ monitisation விளம்பரத்தை ஏன் நீ மதன் ஆஃப் பண்ணல,tamil_english
Hats off Thala,tanglish
Thanks 🙏 anna entha topic eduthu pesunathuku justice for srimathi,tanglish
வணக்கம் கண்டிப்பா குற்றவாளிகள் தண்டிக்கப்பட வேண்டும் தண்டனை கடுமையாக இருக்க வேண்டும் Sri mathi ஆத்மா சாந்தி அடைய இறைவனை வேண்டி அஞ்சலி செலுத்துங்கள்,tamil_english
Thanks   for the information anna 🙏🙏🙏so sad 🙄,tanglish
நன்றி அண்ணா... Justice for srimathi 🙏,tamil_english
Pudhu vuravu malai salaral vuravu nalla varavu means,tanglish
"Madan Gowari can take films super acting sir, in your reports",tanglish
போராட்டத்திற்கு அழைத்து jeni என்ற பெயரில் கமென்ட் செய்த நபர் தற்போது அந்த கமென்ட் ஐ நீக்கிவிட்டார் ... நேற்று அந்த கமென்டிற்கு கீழ் சுமார் 350 பேர் வருவதாக கமென்ட் செய்திருந்தனர்... தற்போது jeni அந்த கமென்ட் ஐ நீக்க காரணம் என்ன??? போராட்டம் வன்முறையாக மாற இந்த வீடியோ ஒரு முக்கிய காரணமாக இருந்துள்ளது....,tamil_english
"அந்த பெண் 10Th 'ல School toper 
யோசிங்க",tamil_english
Bracelet  காணாமல் போனதால்   நீ திட்டுவா என்கிற பயத்தில் தற்கொலை பண்ணிக்க் கொண்டாலோ...,tamil_english
Pubg Madan and TTF brother பத்தி மட்டும் போடுவார்கள். இந்த news எல்லாம் போடமாட்டார்கள்,tamil_english
kandippa thampi nee nalla News konduporinga.  kandippa antha ponnukku ennamo nadanthurulku,tanglish
என்ன மதனு இங்க ஒக்காந்து குரல் கொடுக்குறதுக்கு கள்ளக்குறிச்சி பொய் சப்போட்  பண்ணலாமே . ஒனக்குத் தேவ காசு அத சம்பாரிக்க எந்த நியூஸ் டா மட்டுண்ணு பாக்குற.இந்த ஒரு நியூஸ் வட்சே ஒரு rs 50000 மேல சம்பாதிச்சுடுவ  அப்பறம் என்ன வேர நியூஸ் அவ்வலோதா நீ . எங்கள மாறி வந்து போராடு அப்போ நீ நியமானவன்,tamil_english
Needhi வேண்டும்.,tamil_english
Bro india சட்டங்கள் கடுமையான ல் மட்டும் தான் குற்றம் குறையும்,tamil_english
"இந்த சம்பவத்திற்கு இருதரப்பு மீதும் தவறு உள்ளது.. நாங்கள் படிக்கும் காலத்தில் (90's) நன்றாக படிக்க வேண்டும் என்று எங்கள் ஆசிரியர்கள் எங்களை கடுமையாக கண்டித்து உள்ளனர். அதற்காக நாங்கள் யாரும் இந்த மாதிரி செயலில் ஈடுபடவில்லை. பெற்றோர்கள் பிள்ளைகளின் திறன் அறிந்து தங்களுடன் வைத்து படிக்க வைக்க வேண்டும்.. தனது பிள்ளை நன்றாக படித்து பேர் எடுக்க வேண்டும் என்ற பேராசையோடு, நல்ல பள்ளியில் சேர்ந்து அவர்களை இந்த நிலைக்கு ஆளாகின்றனர். குழந்தைகளை தங்களுடன் வைத்து வளர்த்து அவர்களுக்கு என்ன வருமோ அந்த திறனை வளர்த்தால் அவர்கள் நல்ல நிலைமைக்கு வருவார்கள்.குழந்தை போன பின்பு இப்படி அடுத்தவர்களை குற்றம் கூறுவது தவறு.. பெற்றோர்களே முதலில் நீங்கள் நிறுத்துங்கள் 🙏",tamil_english
"கீழ விழுந்த இடத்தில் புகைப்படம் ஏன் எடுப்க வில்லை,  எல்லார்கிட்டயும் Camera. Phones. இருக்கு இப்போ உள்ள. சூழ்நிலையில்",tamil_english
Thank u bro nalla theerppu kidaikka vendum,tanglish
Parents Mela than thappu .. கௌரவத்துகாக private la kondu poi sekkuranga . Yen govt la seththa Enna kevalama . Namma kitta Kodi Kodi ah panaththa vangipanga kadaisiya namma pasangala ponamathan thirupi kudupanga . Ithu Kalam kalama nadakurathu thana ithu theyrinchum yen intha parents iputi panranga nu theyriyala. Ithuku kandipa Oru vilipunarvu theyva . Avalo than .,tamil_english
ஏன் ஏன் ஏன் என்று ஆயிரம் முறை கேட்டாலும் பதில் RSபாரதி  சொன்னதுதான்,tamil_english
நாம் இருப்பது தமிழ்நாடு இல்லை தான் புரியுது  pro,tamil_english
தினமும் ஒரு வாரமாக செய்திகள்ல வருது bro. அரைமணிநேரம் ஒரு மணிநேரம் ஒளிபரப்பாகும் செய்திகளில் தினமும் வந்தது.,tamil_english
இது தட்கொலை இல்லை காட்பாளிப்புக்கு முயற்சி பண்ணி இருக்கலாம் so பண்ணிட்டு கொலை செய்திருக்கலாம்,tamil_english
"Super. Thank you sir. 
Please school name. Shakthi metric school very very bad",tanglish
சின்ன  🔥பொறி காட்டு🔥 ஆகும்னு இப்பதா பாக்குற well done broo....,tamil_english
School Chairman Mr. Ravi Kumar  அவங்க மனைவியும் சேர்ந்து நடத்துவாங்க. அவங்களுக்கு  20வயது பையன் மட்டுமே பெண்ணை பெற்றவருக்கு தான் தெரியும் வலி.,tamil_english
"நாம் சரியான மணபக்குவதில் குழந்தைகளை வளர்க்கவேண்டும்....  சாவு எதற்கும் தீர்வு இல்லை என்று.... ஆனால் வேறு ஏதேனும் ஆசியர்கள் அத்து meeriyathaal நடை பெற்று இருந்தால் அந்த ஆசியர்கள் தண்டிக்க பட வேண்டும்...
  ஆனால் திட்டியதால் இருந்தால் அது அந்த பெண்ணின் மேலும் பெட்டிகள் மேலும் தவறுதான் ...
  மேலும் திட்டியதால் இறந்திருந்தால் அது",tamil_english
"பல நாளா subscribe பண்ணாம தான் பார்த்துட்டு இருந்தேன்.. இந்த வீடியோ ல காட்டும் சமூக பொறுப்புக்காக subscribe பண்ணிட்டேன்.. dont worry about mainstream media.. youtube தான் இப்போ mainstream.. 
தொடர்ந்து சமூக பொறுப்புள்ள வீடியோக்கள்  போடணும் மதன்",tamil_english
இந்த பொண்ணு மட்டும் தான் HOSTEL ல இருந்தார்களா அவங்க friends கேட்க்கும் போது கண்டிப்பாக தெரியும்.,tamil_english
News நீங்க nambaringa ல 75 நாள் ஆனா தான் நாங்க cm seththathaye solluvom,tamil_english
ஏன் school பேரு உனக்கு தெரியாதா இல்ல solla கூடாதா,tamil_english
Letter கதை சரியான உருட்டு... Fees திருப்ப கொடுங்க என்ற உருட்டு Emotional பொய்..,tamil_english
"Maximum girls- தான் death ஆவுரங்க school and college la.
 Maximum illam வயசு பொண்ணுங்க தான் death ஆவுரங்க.
 Maximum middle or upper middle or ஏலை குடும்ப girls-தான் death ஆவுரங்க.
Maximum hostel girls-தான் death ஆவுரங்க.",tamil_english
Thappana school nu therinjalum thannoda kowravaththukkaga kulandhaigala indha maadhiri periya school la serththu vittu kaiyila mobile la phone um vaangikkuduththuduranga...      Madan sir innaikku nadakkura niraiya thappana visayaththukku kaaranam  peththavanga thaan.... Indha saavukku school management kaaranama irukkalam... Illa friends kaaranama irukkalam.. Illa yaara venalum irukkalam... Aana kowravaththukkaga aadambaram pannanum sondhaththukkitta nalla peru vaanganum... Ponnukku chellam kudukkanum... Pirappukku kaaranamaavanga thaan ippo irappukku kaaranamum kooda...,tanglish
"Itha patthi innum konja naal pesuvom, apparam,, TNPL, next enna movie, apdi ipdi nu atha maranthiruvom... Mannikaramo illayo, maranthiruvom....மறதி, ஒரு தேசிய வியாதி",tamil_english
மதன் அண்ணா இந்த ஸ்ரீமதிக்கு ஒரு நியாயம் கிடைக்காத சட்டம்தான் என்ன பன்னிட்டு இருக்கு பாவம் அண்ணா அந்த அம்மா அப்பா எனக்கும் ரெண்டு தங்கச்சி இருக்கு எப்படி அண்ணா நான் பாத்துக்க போற இப்டி நடந்த என்ன பண்றது ரொம்ப கஷ்டமா இருக்கு anna,tamil_english
"Love,, you,, anna,, 😘 thanks anna pesunathukku",tanglish
Mass thala💓😭💔,tanglish
Thala neenga video podirathu periyavisiyam illa ana antha ponnukku neethi kidaikkanum saringala athukku enna Pannanumo atha pannunga saringala..summa ungalukku content illanu itha pannathinga.... Srimathi??????!??????????????!!!!!!??????,tanglish
"Nanum 11th 12th matriculation school hostel la padichan.., school la join pannumbothu fees vangikitu serthukitanga aana na lower caste ponnu enkuda na padicha school la neraya partners ah govt school staffs serndhu run panitu vandhanga, avanga own  caste students ku mattum thaan care eaduthu teach pannunanga.. Even nana padichu exams la nalla pannunalum ellamea wrong nu solli and na eadhu pannunalum thappu.. Nee waste nu demotivate mattum thaan pannunanga.. And fees pay pana late aana reason ku ellaru munnadiyum exam ealudha vidama parents oda economical growth ah asingama pesunanga.. Andha day night nanum hostel la en note la suicide letter ealudhina.., but en amma mattum eapavumea nenachu parpen athanala suicide letter ah kilichu potuta..., Ellarukum ena solla vara na.. Iniku mari naal nalaiku irukadhu.. Ellarukum amma irupanga avangaluku nama enava irundhalum pudikum vitu po matanga.. So students suicide lam venam. And school management ku ena solla vara na. Neenga fees vanguringa dedication ah teach panna mudiyalanalum paravala... Inoruthanga life illama porathuku karanama irukadhinga.. Matriculation school ku theva fees and publicity.. Eapdi pathalum oru school nu eaduthukita maximum 5 students thaan cen percent mark scorer ah irupanga oru oru manushanukum life different ah irukum.. Yaro oruthar thaan PM, CM, MLA, MP and Engineer doctor, agri epdi different field iruku akkara irundha anba pesunga neenga vaangura kaasu parents kastapattu padika vekka ungala nambi ungaluku avanga kudukara salary.. Atha vangikitu avanga kolandhaingalaea kola pannadhinga.. Last ah oru vishayam en school la biology student thaan best computer science students lam waste nu onu create pani periya partiality lam create pannunanga.. Self respect ea pogum edha epo nenachu pathalea chi evlo cheap aana teachers lam innum irukanga nu aruverupa iruku. Any way entha ponnukum avanga parents kum pls justice kudukarathoda niruthama... Foreign la maximum schools ellamea government mattum thaan run panranga athu mari inga india la yum schools nu irundhalea adhu government thaan nu mathunga.. Apo thaan ellaru veetlayum nimathiya iruka முடியும் and entha mari endha ponno paiyano suicide panikama thadukalam.",tamil_english
Super sir 👍 .. miss you baby ❤️,tanglish
ஒம்மாள யாரு  செத்தாலும் லெட்டர்  மட்டும் கரட்டா கண்டு  புடிப்பாங்க  தமிழ்நாடு police.... Nobu police... குற்றம்  பண்ணவன கண்டு  புடிக்க  மாட்டாங்க  யா  னா  letter எங்க  இருக்குனு   அத  கரட்டா எடுப்பாங்க ..  😡😡😡😡😡😡⚔️⚔️⚔️⚔️⚔️⚔️⚔️⚔️⚔️😰😰😰😰😰 rip srimathi,tamil_english
Private schools la mattum dhan indha maadhiri problems varum government schools la indha maadhiri problems varadhu அதுமட்டுமில்லாமல் sila parents தங்களுடைய கௌரவர்திற்காக குழந்தைகளை தனியார் பள்ளியில் சேர்க்கிறார்கள் கல்வி எல்லா பள்ளிகளிலும் கற்பிக்கப்படும் என்பதை நினைவு கூர்ந்து தங்கள் குழந்தைகளை நல்ல பள்ளியில் சேருங்கள் இது போன்ற பிரட்சனைகள் வராது வீன் கௌரவத்தை விட்டு விடுங்கள்,tamil_english
அந்த  லெட்டர் ra antha பொண்ணுதா  எழுதுச்சினு  ஆதாரம்  இருக்கா ப்ரோ... யா  அந்த   பொண்ண  யாரவது  மிரட்டி லெட்டர் எழுத வச்சிருக்கலாம் .. என்னடா  யாரு  செத்தாலும்  letter கிடைச்சிருக்கு  மயிறு கடச்சிருக்குனு  சொல்லறீங்க  school la அந்த  பொண்ணு  கூட  இருந்த  பசங்க  கிட்ட கேக்க லாம்  இல்ல  அந்த  பொண்ணு இருந்த  யடத்துல  கேமரா  இல்ல இந்த  உலகமே பணம்  ஆச புடிச்ச உலகம் 😡😡😡😡😡😡 i a m law student மக்கள  பாது காக்க தா  government தவறு  செய்றவங்களுக்கு  support பண்ண  illa ஒரு  வாட்டி  யாவது  உண்மைய கண்டு புடுச்சி  நாய்களை சுட்டு தள்ளுங்க daa ⚔️⚔️⚔️⚔️⚔️⚔️⚔️⚔️😰😰😰😰😰😰😰😰😰😰 rip srimathi  ஒன்னும்  தெரியாத  மாதிரி நடிப்பானுக   kena புண்டைங்க 😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡⚔️⚔️⚔️⚔️,tamil_english
Madan Thanks pa இந்த பெண் பற்றி பேசியதற்கு நன்றி பா,tamil_english
அண்ணா டீச்சர் படிக்க சொன்னாங்க தான ஶ்ரீமதி தர் கொலை பண்ணாங்க அந்த பொண்ணுக்கு படிக்க தெரியும் illa na epadi +1 pass பண்ணாங்க ஶ்ரீமதி mark sheet and test paper பாக்க சொல்லுங்க pls,tamil_english
"Oru teacher naai pannura velaila, matha nalla nalla teachers life and family kettu pogudhu",tanglish
அப்ப தா உண்மை தெரியும் pls அண்ணா,tamil_english
இதை மாதிரி அடித்து நோரிக்கினால் மேலும் தவறு செய்ய மாட்டார்கள் management டை கட்டி வைத்து தீ வைக்க வேண்டும்,tamil_english
எனக்கு ஒரு சந்தேகம் ௮ந்த பள்ளியில் CCTV camara இல்லையா,tamil_english
"இவ்வலோ சொன்ன உண்ணால School பேர் சொல்ல முடுயல, இல்ல பேரே தெரியாம பேசரயா",tamil_english
"College layum ipditha sila staff pannuvanga... Ponnungala pasanga munnadi bad ah thittuvanga.... Important penalty ndra name la yellathukum money chilllll reasons ku kooda..... Avangala pathi management la report panna angayum students mu support irukathu.... Last ah yenga mark tha pothukum nalla exam yeluthirunthalum.... 


Education system ah ve mathanum....🙂",tanglish
Ivlo naal neenga TN news la soltra visayangala mattum sollala.. but ipo ipdi pesurathu nalla illa.. Unga videos ah neraya per pakuranga...  So truth enna irukunu correct ah pesunga..,tanglish
சினிமா அரசியல் எல்லாரும் கொண்டுங்க but நாட்டு நடக்குற அநியாயம் தட்டி கேட்காதீங்க  kallakurichi பள்ளி மாணவி srimati உயிறுக்கு போனதுக்கு  போராடுங்கள்,tamil_english
சினிமா அரசியல் எல்லாரும் கொண்டுங்க but நாட்டு நடக்குற அநியாயம் தட்டி கேட்காதீங்க  kallakurichi பள்ளி மாணவி srimati உயிறுக்கு போனதுக்கு  போராடுங்கள்,tamil_english
சினிமா அரசியல் எல்லாரும் கொண்டுங்க but நாட்டு நடக்குற அநியாயம் தட்டி கேட்காதீங்க  kallakurichi பள்ளி மாணவி srimati உயிறுக்கு போனதுக்கு  போராடுங்கள்,tamil_english
சினிமா அரசியல் எல்லாரும் கொண்டுங்க but நாட்டு நடக்குற அநியாயம் தட்டி கேட்காதீங்க  kallakurichi பள்ளி மாணவி srimati உயிறுக்கு போனதுக்கு  போராடுங்கள்,tamil_english
சினிமா அரசியல் எல்லாரும் கொண்டுங்க but நாட்டு நடக்குற அநியாயம் தட்டி கேட்காதீங்க  kallakurichi பள்ளி மாணவி srimati உயிறுக்கு போனதுக்கு  போராடுங்கள்,tamil_english
சினிமா அரசியல் எல்லாரும் கொண்டுங்க but நாட்டு நடக்குற அநியாயம் தட்டி கேட்காதீங்க  kallakurichi பள்ளி மாணவி srimati உயிறுக்கு போனதுக்கு  போராடுங்கள்,tamil_english
@marisri2950      இது போல் வேறு எந்த பெண்ணுக்கும் இனி நடக்ககூடாது,tamil_english
உண்மை brooo,tamil_english
சினிமா அரசியல் எல்லாரும் கொண்டுங்க but நாட்டு நடக்குற அநியாயம் தட்டி கேட்காதீங்க  kallakurichi பள்ளி மாணவி srimati உயிறுக்கு போனதுக்கு  போராடுங்கள்,tamil_english
சினிமா அரசியல் எல்லாரும் கொண்டுங்க but நாட்டு நடக்குற அநியாயம் தட்டி கேட்காதீங்க  kallakurichi பள்ளி மாணவி srimati உயிறுக்கு போனதுக்கு  போராடுங்கள்,tamil_english
சினிமா அரசியல் எல்லாரும் கொண்டுங்க but நாட்டு நடக்குற அநியாயம் தட்டி கேட்காதீங்க  kallakurichi பள்ளி மாணவி srimati உயிறுக்கு போனதுக்கு  போராடுங்கள்,tamil_english
சினிமா அரசியல் எல்லாரும் கொண்டுங்க but நாட்டு நடக்குற அநியாயம் தட்டி கேட்காதீங்க  kallakurichi பள்ளி மாணவி srimati உயிறுக்கு போனதுக்கு  போராடுங்கள்,tamil_english
ஆசிரியர்  srimathiya thitunathu romba thapu..... Bro,tamil_english
Ama bro teachers epola sarila schl la naane epo dha schl finish panna indha 12 epo da mudipom nu feel vanduruchu avlo pressure kudukuranga pressure mattum kuduta paravala ana oru student mentally odanju pora alavuku teachers pesuranga nane depression ku pora alavuku poita enakum suside thoughts vanduruku teachers pesura words naala avlo kastama erukum naanum parents ta sonna avanga vandhu schl la kekum podhu teachers solranga na summa dha nalla padikanum nu sonna appadi la solla ve illa nu maaritanga government sollirukanga students ah adika kudadhu nu but teachers adikiranga neegha nariya Pearu sluvinga unga nalladhuku dha adikiranga nu but chinna chinna visiyatuku maadu maari animals maari adikiranga stick la aduchu oru naal ennoda kaila la veengiruchu kai kaal la oru talumbu punnu na 6 th padikum podhu appadi adipanga oru 6 th student oru kolandai nu kuda paaka maatanga students oda feelings ah care pannika maatanga neela padikiradhuku laaike illa nu students ah teachers se kevalama pesi decide pannuvanga indha education system sarila bro edhu patti pesunga education system strong ah erukanum students ah mentally torture pannadinga,tanglish
அருமை... இப்போ Schools la எவ்ளோ problems வந்தாலும் நெறைய parents நமக்கு எதுக்குனு போராங்க... நாம question பன்னா நம்ம குழந்தைய school teachers target பண்ணுவாங்க நு அமைதியா போறாங்க... Kindness care எல்லாம் இப்போ இல்லை only business minded people...,tamil_english
யாரு மேல தப்புன்னு சொல்லமுடியாதுங்குற அப்பறம் எதுக்கு பொண்ணு பேர சொல்ர. இப்ப school பேர சொன்னா சாகடிக்கவா போராங்க. அந்த பொண்ணு State first எடுத்திருந்தால் அப்பவும் school பேர சொல்ல மாட்டிங்களா?,tamil_english
Ella media um அந்த ops eps problem ah yaaru first kaaturom ngra oru kevalam thaan nadakuthu,tamil_english
Sariyana நீதி kitaikanum  antha  papa ku😭😭😭🇱🇰,tamil_english
Police நீதியான முறையில் செயல் படா விட்டால் இந்த ஆட்சியின் மீது இருக்கும் நம்பிக்கை மக்களுக்கு போய் விடும். பிள்ளைகளை பெற்ற பெற்றோர் இப்படி தவிப்பது வாடிக்கை ஆகி வருகிறது. பணம் இருந்தா மறைத்து விடலாம் என்று நினைக்கும் பள்ளிகளுக்கு பாடம் புகட்ட வேண்டும். உண்மையில் அவர்கள் மீது தவறு இருந்தால்.,tamil_english
விடாதீங்க tamilnaadu makkalea,tamil_english
Thanks anna😭😭😭😭,tanglish
முதல்ல இந்த fraud a arrest panni ulla podanum.TRP க்காக  கலவரத்தை தூண்டும் வகையில் பேசுவது..,tamil_english
"யாரும் பேசாத விஷயங்களை நீங்க பேசுறீங்க... நன்றி Brother.
ஸ்ரீமதியின் மரணத்தின் உண்மைகள் வெளிவரவேண்டும்.தொடர்ந்து பதிவிடுங்கள்.",tamil_english
"@mg bro, please nalla analysis panni video post pannunga, we are waiting for your clear detail information about this case",tanglish
Insha Allah அல்லாஹ் பாதுகாப்பான்,tamil_english
"ஸ்ரீமதி தங்கை இறந்த இடத்தில் இறந்த நேரத்தில் அங்கு இருந்த( mobile phones trash )செய்யுங்கள் .

Cctv footage (hardisk recovery) panni paruga.
Delete pannirupaga",tamil_english
Super super sir thank you,tanglish
"Na padicha private school kuda apudi tha namakulla ulla capacity ah velila kuda theriyama nambala apudiye oram katti compare panni pesuvanga ne padika matta neelam enga urupuda pore nu soliye mattam thattuvanga atha intha private schools mostly pannuvanvga anga padika kulla 200+ tha last rank ipudi tha varuven aprm na sslc padika kulla government school maritan anga poi tha ennoda capacity ennanu enaikae therinjichi 10 la 400+ marks eduthan then 11 thla na padicha private school pasanga en kuda government school ah join pannaga en mark ah ketu ellam shock neeya epudi evolo mark edutha neela yepudi padicha nu apo amangada itha en mark nu getha nadanthu vathan 


Namba students encourage pannaum oru nalla padikire pasangala vachi results katturathula success ila  padikatha pasangala vachi namba results katanum atha unmayana success ithu en sir sonathu

Now iam a teacher

Intha ulagathula namba enna kudukuromo atha namaiku thirumba kedaikum 🙏",tanglish
☹️☹️☹️Bro  எல்லா செய்தியை போன்றும் இதுவும் ஒன்று இல்லாமல் முடியும்...இல்லைண்ண  நீங்களே பாருங்கள் ☹️🥺🥺 (💸💰 பணம் எதையும் செய்யும் 💤,tamil_english
Nampa padikera Nala arivu valarapovathu ila idhu ellam asai idhula oru vishaiam iruku nalla sampathikalam apram people  always lousar,tanglish
இனி செய்திதாள் யாரும் வாங்கவே வேண்டம் 🙏🙏🙏🙏news paper news TV 📺  vandam,tamil_english
